Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
132,Quinshon Judkins,RB,,,43,9,11
133,Rashid Shaheed,WR,NO,,54,11,12
134,Quentin Johnston,WR,LAC,,55,11,12
135,DeAndre Hopkins,WR,BAL,,56,12,12
136,Tyler Allgeier,RB,ATL,,44,9,12
137,Romeo Doubs,WR,GB,,57,12,12
138,Kyle Pitts,TE,ATL,,16,4,12
139,Ray Davis,RB,BUF,,45,9,12
140,Geno Smith,QB,LV,,22,5,12
141,Adam Thielen,WR,CAR,,58,12,12
142,Sam Darnold,QB,SEA,,23,5,12
143,Braelon Allen,RB,NYJ,,46,10,12
144,Jaylen Wright,RB,MIA,,47,10,12
145,Bryce Young,QB,CAR,,24,5,13
146,Marvin Mims,WR,DEN,,59,12,13
147,Pat Freiermuth,TE,PIT,,17,4,13
148,Jaleel McLaughlin,RB,DEN,,48,10,13
149,Justin Fields,QB,NYJ,,25,5,13
150,Rashod Bateman,WR,BAL,,60,12,13
151,Isaac Guerendo,RB,SF,,49,10,13
152,Xavier Legette,WR,CAR,,61,13,13
153,Zach Ertz,TE,WAS,,18,4,13
154,Adonai Mitchell,WR,IND,,62,13,13
155,Dylan Sampson,RB,,,50,10,13
156,Trey Benson,RB,ARI,,51,11,13
157,Cole Kmet,TE,CHI,,19,4,14
158,Tyler Warren,TE,,,20,4,14
159,Nick Chubb,RB,,,52,11,14
160,Cade Otton,TE,TB,,21,5,14
161,MarShawn Lloyd,RB,GB,,53,11,14
162,Wan'Dale Robinson,WR,NYG,,63,13,14
163,DeMario Douglas,WR,NE,,64,13,14
164,J.J. McCarthy,QB,MIN,,26,6,14
165,Michael Wilson,WR,ARI,,65,13,14
166,Luther Burden,WR,,,66,14,14
167,Emeka Egbuka,WR,,,67,14,14
168,Roschon Johnson,RB,CHI,,54,11,14
169,Audric Estime,RB,DEN,,55,11,15
170,Matthew Golden,WR,,,68,14,15
171,Isaiah Likely,TE,BAL,,22,5,15
172,Bhayshul Tuten,RB,,,56,12,15
173,Dalton Schultz,TE,HOU,,23,5,15
174,Dontayvion Wicks,WR,GB,,69,14,15
175,Diontae Johnson,WR,,,70,14,15
176,Kaleb Johnson,RB,,,57,12,15
177,Cam Ward,QB,,,27,6,15
178,Antonio Gibson,RB,NE,,58,12,15
179,Cam Skattebo,RB,,,59,12,15
180,Joshua Palmer,WR,BUF,,71,15,15
181,Ja'Tavion Sanders,TE,CAR,,24,5,16
182,Kimani Vidal,RB,LAC,,60,12,16
183,Mike Gesicki,TE,CIN,,25,5,16
184,Brandin Cooks,WR,NO,,72,15,16
185,Kendre Miller,RB,NO,,61,13,16
186,Tre Harris,WR,,,73,15,16
187,Shedeur Sanders,QB,,,28,6,16
188,Isaiah Bond,WR,,,74,15,16
189,Colston Loveland,TE,,,26,6,16
190,Devin Singletary,RB,NYG,,62,13,16
191,Travis Hunter,WR,,,75,15,16
192,Noah Fant,TE,SEA,,27,6,16
193,Derek Carr,QB,NO,,29,6,17
194,Gabe Davis,WR,JAX,,76,16,17
195,Devin Neal,RB,,,63,13,17
196,Damien Martinez,RB,,,64,13,17
197,Jalen Tolbert,WR,DAL,,77,16,17
198,Ollie Gordon,RB,,,65,13,17
199,Christian Watson,WR,GB,,78,16,17
200,Justice Hill,RB,BAL,,66,14,17
201,Xavier Restrepo,WR,,,79,16,17
202,Juwan Johnson,TE,NO,,28,6,17
203,Taysom Hill,TE,NO,,29,6,17
204,Trevor Etienne,RB,,,67,14,17
205,RJ Harvey,RB,,,68,14,18
206,Kyle Monangai,RB,,,69,14,18
207,Elic Ayomanor,WR,,,80,16,18
208,Alexander Mattison,RB,MIA,,70,14,18
209,Roman Wilson,WR,PIT,,81,17,18
210,Gus Edwards,RB,,,71,15,18
211,Russell Wilson,QB,NYG,,30,6,18
212,Khalil Herbert,RB,IND,,72,15,18
213,Raheem Mostert,RB,LV,,73,15,18
214,Luke McCaffrey,WR,WAS,,82,17,18
215,Tank Dell,WR,HOU,,83,17,18
216,Mike Williams,WR,LAC,,84,17,18
217,Harold Fannin,TE,,,30,6,19
218,Aaron Rodgers,QB,,,31,7,19
219,Curtis Samuel,WR,BUF,,85,17,19
220,Zack Moss,RB,CIN,,74,15,19
221,Elijah Mitchell,RB,KC,,75,15,19
222,Tyler Lockett,WR,,,86,18,19
223,Jalen Royals,WR,,,87,18,19
224,Theo Johnson,TE,NYG,,31,7,19
225,Keaton Mitchell,RB,BAL,,76,16,19
226,Ty Chandler,RB,MIN,,77,16,19
227,Tez Johnson,WR,,,88,18,19
228,Jaxson Dart,QB,,,32,7,19
229,Will Levis,QB,TEN,,33,7,20
230,Raheim Sanders,RB,,,78,16,20
231,Dameon Pierce,RB,HOU,,79,16,20
232,Oronde Gadsden,TE,,,32,7,20
233,DJ Giddens,RB,,,80,16,20
234,Ben Sinnott,TE,WAS,,33,7,20
235,Deshaun Watson,QB,CLE,,34,7,20
236,Daniel Jones,QB,IND,,35,7,20
237,Donovan Edwards,RB,,,81,17,20
238,Ezekiel Elliott,RB,,,82,17,20
239,Jordan Mason,RB,MIN,,83,17,20
240,Jermaine Burton,WR,CIN,,89,18,20
241,Will Shipley,RB,PHI,,84,17,21
242,Brashard Smith,RB,,,85,17,21
243,Tory Horton,WR,,,90,18,21
244,Zamir White,RB,LV,,86,18,21
245,Kirk Cousins,QB,ATL,,36,8,21
246,Demarcus Robinson,WR,SF,,91,19,21
247,Trey Sermon,RB,,,87,18,21
248,Tyler Conklin,TE,LAC,,34,7,21
249,Jamaal Williams,RB,,,88,18,21
250,Tahj Brooks,RB,,,89,18,21
251,Antwane Wells,WR,,,92,19,21
252,Michael Penix,QB,ATL,,37,8,21
253,Tyler Boyd,WR,,,93,19,22
254,Kenneth Gainwell,RB,PIT,,90,18,22
255,Dawson Knox,TE,BUF,,35,7,22
256,Elijah Arroyo,TE,,,36,8,22
257,Woody Marks,RB,,,91,19,22
258,Jaylin Noel,WR,,,94,19,22
259,Elijah Moore,WR,,,95,19,22
260,Jahan Dotson,WR,PHI,,96,20,22
261,Troy Franklin,WR,DEN,,97,20,22
262,A.J. Dillon,RB,PHI,,92,19,22
263,Michael Mayer,TE,LV,,37,8,22
264,Jayden Higgins,WR,,,98,20,22
265,Darius Slayton,WR,NYG,,99,20,23
266,Ja'Quinden Jackson,RB,,,93,19,23
267,Malachi Corley,WR,NYJ,,100,20,23
268,Clyde Edwards-Helaire,RB,NO,,94,19,23
269,Kendrick Bourne,WR,NE,,101,21,23
270,Zay Jones,WR,ARI,,102,21,23
271,Jack Bech,WR,,,103,21,23
272,Davis Cheek,QB,,,38,8,23
273,Luke Musgrave,TE,GB,,38,8,23
274,Jarquez Hunter,RB,,,95,19,23
275,Peewee Jarrett,QB,,,39,8,23
276,Greg Dulcich,TE,NYG,,39,8,23
277,Jonathon Brooks,RB,CAR,,96,20,24
278,Larry Rose,RB,,,97,20,24
279,Greg Dortch,WR,ARI,,104,21,24
280,Javon Baker,WR,NE,,105,21,24
281,Austin Aune,QB,,,40,8,24
282,Marcus Yarns,RB,,,98,20,24
283,Kevin White,WR,,,106,22,24
284,Jaydon Blue,RB,,,99,20,24
285,Savion Williams,WR,,,107,22,24
286,Zay Malone,WR,,,108,22,24
287,Ja'Lynn Polk,WR,NE,,109,22,24
288,Stephen Baggett,TE,,,40,8,24
289,Jalin Hyatt,WR,NYG,,110,22,25
290,Mark Ingram,RB,,,100,20,25
291,Mason Taylor,TE,,,41,9,25
292,Jamize Olawale,FB,,,1,1,25
293,Jalen Milroe,QB,,,41,9,25
294,Elijah Marks,WR,,,111,23,25
295,Kalel Mullings,RB,,,101,21,25
296,Wendell Smallwood,RB,WAS,,102,21,25
297,Terrance Ferguson,TE,,,42,9,25
298,Nick Keizer,TE,,,43,9,25
299,Chig Okonkwo,TE,TEN,,44,9,25
300,Mo Alie-Cox,TE,,,45,9,25
