first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Geno,Smith,QB,,6,2025-10-12,Sun-Mon,LV,TEN,-4.5,41.5,23,5200,7,14.9,15.4,14.9,16.0,3.08
Xavier,Worthy,WR,,6,2025-10-12,Sun-Mon,KC,DET,-2.5,51.5,27,6000,26,17.8,16.1,9.4,15.9,2.65
Spencer,Rattler,QB,,6,2025-10-12,Sun-Mon,NO,NE,+3.5,45.5,21,4700,21,15.2,12.9,15.2,15.9,3.38
Deebo,Samuel Sr.,WR,Q,6,2025-10-13,Sun-Mon,WAS,CHI,-5.5,50.5,28,6400,19,17.7,13.8,17.7,15.8,2.46
Michael,Penix Jr.,QB,,6,2025-10-13,Sun-Mon,ATL,BUF,+3.5,50.5,23.5,5000,10,17.4,12.0,14.5,15.5,3.10
Tetairoa,McMillan,WR,,6,2025-10-12,Sun-Mon,CAR,DAL,+3.5,49.5,23,6000,32,12.4,12.4,12.4,15.5,2.58
Ladd,McConkey,WR,,6,2025-10-12,Sun-Mon,LAC,MIA,-4.5,43.5,24,5700,7,9.7,16.3,9.7,15.5,2.73
Ja'Marr,Chase,WR,Q,6,2025-10-12,Sun-Mon,CIN,GB,+14.5,44.5,15,7700,15,18.7,23.0,18.7,15.4,2.00
Jacory,Croskey-Merritt,RB,,6,2025-10-13,Sun-Mon,WAS,CHI,-5.5,50.5,28,5600,29,12.9,12.9,12.9,15.3,2.73
Davante,Adams,WR,,6,2025-10-12,Sun-Mon,LAR,BAL,-7.5,44.5,26,6700,31,15.7,20.4,15.7,15.2,2.27
Rome,Odunze,WR,,6,2025-10-13,Sun-Mon,CHI,WAS,+5.5,50.5,22.5,6500,24,17.3,13.0,20.7,15.2,2.34
Aaron,Rodgers,QB,,6,2025-10-12,Sun-Mon,PIT,CLE,-5.5,38.5,22,5300,5,17.9,16.9,15.9,15.1,2.84
Jaylen,Waddle,WR,,6,2025-10-12,Sun-Mon,MIA,LAC,+4.5,43.5,19.5,6100,4,14.7,14.6,14.7,14.8,2.43
Stefon,Diggs,WR,,6,2025-10-12,Sun-Mon,NE,NO,-3.5,45.5,24.5,5800,9,14.2,14.3,14.2,14.8,2.56
Trey,McBride,TE,,6,2025-10-12,Sun-Mon,ARI,IND,+7.5,46.5,19.5,5500,11,12.5,15.2,12.5,14.7,2.67
Brian,Thomas Jr.,WR,,6,2025-10-12,Sun-Mon,JAX,SEA,+0.5,47.5,23.5,6200,12,9.6,17.6,9.6,14.7,2.37
Keenan,Allen,WR,,6,2025-10-12,Sun-Mon,LAC,MIA,-4.5,43.5,24,5600,7,15.2,14.6,15.2,14.7,2.62
Travis,Etienne Jr.,RB,,6,2025-10-12,Sun-Mon,JAX,SEA,+0.5,47.5,23.5,5900,21,16.3,12.8,16.3,14.4,2.44
Tua,Tagovailoa,QB,Q,6,2025-10-12,Sun-Mon,MIA,LAC,+4.5,43.5,19.5,5500,11,16.6,18.6,16.6,14.4,2.61
Chris,Olave,WR,,6,2025-10-12,Sun-Mon,NO,NE,+3.5,45.5,21,5100,22,12.5,10.7,12.5,14.2,2.79
Jaylen,Warren,RB,,6,2025-10-12,Sun-Mon,PIT,CLE,-5.5,38.5,22,5400,1,10.6,10.6,14.8,14.1,2.61
Jakobi,Meyers,WR,,6,2025-10-12,Sun-Mon,LV,TEN,-4.5,41.5,23,5800,25,10.8,13.2,10.8,13.7,2.36
Cam,Ward,QB,,6,2025-10-12,Sun-Mon,TEN,LV,+4.5,41.5,18.5,4600,17,8.4,8.4,8.4,13.7,2.98
Derrick,Henry,RB,,6,2025-10-12,Sun-Mon,BAL,LAR,+7.5,44.5,18.5,6200,3,12.9,19.7,12.9,13.6,2.20
Jake,Ferguson,TE,,6,2025-10-12,Sun-Mon,DAL,CAR,-3.5,49.5,26.5,5300,29,17.2,11.4,17.2,13.6,2.57
DK,Metcalf,WR,,6,2025-10-12,Sun-Mon,PIT,CLE,-5.5,38.5,22,5500,17,15.3,12.4,15.5,13.6,2.47
Tyler,Warren,TE,,6,2025-10-12,Sun-Mon,IND,ARI,-7.5,46.5,27,4900,22,13.3,13.3,13.3,13.4,2.73
Michael,Pittman Jr.,WR,,6,2025-10-12,Sun-Mon,IND,ARI,-7.5,46.5,27,5400,18,15.5,14.3,15.5,13.3,2.47
D'Andre,Swift,RB,,6,2025-10-13,Sun-Mon,CHI,WAS,+5.5,50.5,22.5,5500,10,12.7,10.8,12.8,13.2,2.40
Dillon,Gabriel,QB,,6,2025-10-12,Sun-Mon,CLE,PIT,+5.5,38.5,16.5,4400,29,7.0,7.0,7.0,12.9,2.92
Chase,Brown,RB,,6,2025-10-12,Sun-Mon,CIN,GB,+14.5,44.5,15,5600,8,9.9,14.6,9.9,12.8,2.28
Khalil,Shakir,WR,,6,2025-10-13,Sun-Mon,BUF,ATL,-3.5,50.5,27,5200,6,11.6,10.3,11.6,12.6,2.43
Kenneth,Walker III,RB,,6,2025-10-12,Sun-Mon,SEA,JAX,-0.5,47.5,24,6100,14,13.4,12.8,13.4,12.5,2.05
Tony,Pollard,RB,,6,2025-10-12,Sun-Mon,TEN,LV,+4.5,41.5,18.5,5500,17,11.7,10.9,11.7,12.5,2.27
Marvin,Harrison Jr.,WR,,6,2025-10-12,Sun-Mon,ARI,IND,+7.5,46.5,19.5,5300,27,12.5,11.8,12.5,12.4,2.35
Tucker,Kraft,TE,,6,2025-10-12,Sun-Mon,GB,CIN,-14.5,44.5,29.5,4700,30,12.5,10.5,13.5,12.3,2.62
