Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
126,Khalil Shakir,WR,BUF,12,53,6,13
127,Trevor Lawrence,QB,JAX,12,17,2,13
128,Zach Charbonnet,RB,SEA,10,42,5,13
129,Cole Kmet,TE,CHI,7,15,2,13
130,Chuba Hubbard,RB,CAR,11,43,5,13
131,J.K. Dobbins,RB,LAC,5,44,5,14
132,Justin Tucker,K,BAL,14,,1,14
133,Harrison Butker,K,KC,6,,1,14
134,Brandon Aubrey,K,DAL,7,,1,14
135,Evan McPherson,K,CIN,12,,1,14
136,Younghoe Koo,K,ATL,12,,1,14
137,Jakobi Meyers,WR,LV,10,55,6,14
138,Joshua Palmer,WR,LAC,0,57,6,14
139,Rico Dowdle,RB,DAL,7,45,5,14
140,Mike Williams,WR,NYJ,12,59,6,14
141,Jerry Jeudy,WR,CLE,10,56,6,15
142,Xavier Legette,WR,CAR,11,58,6,15
143,Aaron Rodgers,QB,NYJ,12,18,2,15
144,Rashid Shaheed,WR,NO,12,61,6,15
145,Kirk Cousins,QB,ATL,12,19,2,15
146,Ty Chandler,RB,MIN,6,47,5,15
147,Luke Musgrave,TE,GB,10,17,2,15
148,Jaylen Wright,RB,MIA,6,46,5,15
149,Tyler Allgeier,RB,ATL,12,48,5,15
150,Gabe Davis,WR,JAX,12,60,7,15
151,Brandin Cooks,WR,DAL,7,63,7,16
152,Jake Elliott,K,PHI,5,,1,16
153,Jake Moody,K,SF,9,,1,16
154,Ka'imi Fairbairn,K,HOU,14,,1,16
155,Cameron Dicker,K,LAC,5,,1,16
156,Tyler Bass,K,BUF,12,0,1,16
157,Matthew Stafford,QB,LAR,6,20,2,16
158,Ja'Lynn Polk,WR,NE,14,62,7,16
159,Taysom Hill,TE,NO,12,21,2,16
160,Dontayvion Wicks,WR,GB,10,66,7,16
161,Jahan Dotson,WR,PHI,14,68,7,17
162,MarShawn Lloyd,RB,GB,10,52,5,17
163,Josh Downs,WR,IND,14,65,7,17
164,Kendre Miller,RB,NO,12,50,5,17
165,Antonio Gibson,RB,NE,14,49,6,17
166,Jaleel McLaughlin,RB,DEN,14,51,6,17
167,Ricky Pearsall,WR,SF,9,67,7,17
168,Ben Sinnott,TE,WAS,14,18,2,17
169,Baker Mayfield,QB,TB,11,21,3,17
170,Adam Thielen,WR,CAR,11,64,7,17
171,Kimani Vidal,RB,LAC,5,53,6,18
172,Troy Franklin,WR,DEN,14,69,7,18
173,Darnell Mooney,WR,ATL,12,70,7,18
174,Ray Davis,RB,BUF,12,54,6,18
175,Jason Sanders,K,MIA,6,1,2,18
176,Deshaun Watson,QB,CLE,10,22,3,18
177,Cade Otton,TE,TB,11,19,2,18
178,Braelon Allen,RB,NYJ,12,55,6,18
179,Isaiah Likely,TE,BAL,14,20,3,18
180,Quentin Johnston,WR,LAC,5,71,8,18
181,Hunter Henry,TE,NE,14,22,3,19
182,DeMario Douglas,WR,NE,0,72,8,19
183,Tyrone Tracy,RB,NYG,11,56,6,19
184,Elijah Mitchell,RB,SF,9,57,6,19
185,Khalil Herbert,RB,CHI,7,60,6,19
186,Bucky Irving,RB,TB,11,58,6,19
187,Roman Wilson,WR,PIT,9,73,8,19
188,Michael Wilson,WR,ARI,11,77,8,19
189,Tyler Conklin,TE,NYJ,12,23,3,19
190,Dameon Pierce,RB,HOU,14,59,6,19
191,Will Levis,QB,TEN,5,23,3,20
192,Jermaine Burton,WR,CIN,12,74,8,20
193,Geno Smith,QB,SEA,10,26,3,20
194,Luke McCaffrey,WR,WAS,14,76,8,20
195,Rashod Bateman,WR,BAL,14,75,8,20
196,Justin Fields,QB,PIT,9,25,3,20
197,Marvin Mims,WR,DEN,14,80,8,20
198,Chigoziem Okonkwo,TE,TEN,5,24,3,20
199,Malachi Corley,WR,NYJ,12,79,8,20
200,Audric Estime,RB,DEN,14,62,7,20
201,Jason Myers,K,SEA,10,2,2,21
202,Daniel Carlson,K,LV,10,3,2,21
203,Bo Nix,QB,DEN,14,24,3,21
204,Clyde Edwards-Helaire,RB,KC,6,61,7,21
205,Tank Bigsby,RB,JAX,12,67,7,21
206,Noah Fant,TE,SEA,10,25,3,21
207,Will Shipley,RB,PHI,5,68,7,21
208,Demarcus Robinson,WR,LAR,6,84,8,21
209,Drake Maye,QB,NE,14,28,3,21
210,Greg Dortch,WR,ARI,11,85,9,21
211,Bryce Young,QB,CAR,11,29,3,22
212,Alexander Mattison,RB,LV,10,64,7,22
213,J.J. McCarthy,QB,MIN,6,27,3,22
214,Wan'Dale Robinson,WR,NYG,11,78,9,22
215,Ja'Tavion Sanders,TE,CAR,11,27,3,22
216,Mike Gesicki,TE,CIN,12,26,3,22
217,AJ Dillon,RB,GB,10,66,7,22
218,Jalen McMillan,WR,TB,11,82,9,22
219,Roschon Johnson,RB,CHI,7,63,7,22
220,Javon Baker,WR,NE,14,81,9,22
221,Keaton Mitchell,RB,BAL,14,69,7,23
222,Jonnu Smith,TE,MIA,6,28,3,23
223,Daniel Jones,QB,NYG,11,33,3,23
224,DJ Chark,WR,LAC,5,88,9,23
225,Isaac Guerendo,RB,SF,9,72,7,23
226,Tyler Boyd,WR,TEN,5,83,9,23
227,Derek Carr,QB,NO,12,32,4,23
228,D'Onta Foreman,RB,CLE,10,73,7,23
229,Russell Wilson,QB,PIT,9,31,4,23
230,Odell Beckham,WR,MIA,6,87,9,23
231,Juwan Johnson,TE,NO,12,37,3,24
232,Jordan Mason,RB,SF,9,105,8,24
233,Justice Hill,RB,BAL,14,65,8,24
234,Sam Darnold,QB,MIN,6,30,4,24
235,Jalen Tolbert,WR,DAL,7,86,9,24
236,Dylan Laube,RB,LV,10,70,8,24
237,Trey Sermon,RB,IND,14,71,8,24
238,Theo Johnson,TE,NYG,11,29,3,24
239,Jamaal Williams,RB,NO,12,86,8,24
240,Michael Penix,QB,ATL,12,35,4,24
241,Kenneth Gainwell,RB,PHI,5,74,8,25
242,Colby Parkinson,TE,LAR,6,31,4,25
243,Zach Ertz,TE,WAS,14,33,4,25
244,Greg Dulcich,TE,DEN,14,32,4,25
245,Jelani Woods,TE,IND,14,36,4,25
246,Brenden Rice,WR,LAC,5,89,9,25
247,Elijah Moore,WR,CLE,10,94,9,25
248,Gardner Minshew,QB,LV,10,34,4,25
249,Jalin Hyatt,WR,NYG,11,91,10,25
250,Dawson Knox,TE,BUF,12,30,4,25
251,Devontez Walker,WR,BAL,14,92,10,26
252,Rondale Moore,WR,ATL,12,99,10,26
253,Zay Jones,WR,ARI,11,90,10,26
254,Darius Slayton,WR,NYG,11,95,10,26
255,Tucker Kraft,TE,GB,10,34,4,26
256,Kendrick Bourne,WR,NE,14,97,10,26
257,Michael Mayer,TE,LV,10,35,4,26
258,Davis Cheek,QB,HOU,0,55,4,26
259,Albert Wilson,WR,CHI,0,135,10,26
260,Chase Claypool,WR,SF,12,118,10,26
261,Peewee Jarrett,QB,NYJ,0,56,4,27
262,Deuce Vaughn,RB,DAL,7,83,8,27
263,Larry Rose,RB,KC,0,106,8,27
264,Malik Washington,WR,MIA,6,96,10,27
265,J.J. Taylor,RB,HOU,0,107,8,27
266,Treylon Burks,WR,TEN,5,113,10,27
267,Austin Aune,QB,CLE,0,57,4,27
268,Tre Tucker,WR,LV,10,104,11,27
269,Kevin White,WR,SEA,0,136,11,27
270,Rasheen Ali,RB,BAL,14,81,8,27
271,Isaiah Bowser,RB,TB,0,108,9,28
272,Jonathan Mingo,WR,CAR,11,111,11,28
273,Zay Malone,WR,ATL,0,137,11,28
274,Frank Gore,RB,BUF,12,93,9,28
275,Stephen Baggett,TE,WAS,0,49,4,28
276,Josh Reynolds,WR,DEN,14,112,11,28
277,Hayden Hurst,TE,LAC,5,38,4,28
278,Mark Ingram,RB,MIN,0,109,9,28
279,Evan Hull,RB,IND,14,96,9,28
280,Elijah Marks,WR,MIA,0,138,11,28
281,Samaje Perine,RB,DEN,14,88,9,29
282,Wendell Smallwood,RB,WAS,0,110,9,29
283,Miles Sanders,RB,CAR,11,94,9,29
284,Nick Keizer,TE,DAL,0,50,4,29
285,Daniel Bellinger,TE,NYG,11,40,5,29
286,K.J. Osborn,WR,NE,14,106,11,29
287,Mo Alie-Cox,TE,IND,0,51,5,29
288,James White,RB,WAS,0,82,9,29
289,Aidan O'Connell,QB,LV,10,37,4,29
290,Anthony Johnson,WR,MIA,0,139,11,29
291,A.T. Perry,WR,NO,12,98,11,30
292,Jason Witten,TE,HOU,0,52,5,30
293,Vernon Davis,TE,JAX,0,53,5,30
294,De'Lance Turner,RB,DAL,0,111,9,30
295,Ty'Son Williams,RB,DEN,0,75,9,30
