Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
126,Cole Kmet,TE,CHI,7,15,2,13
127,Ezekiel Elliott,RB,DAL,7,38,4,13
128,Drake Maye,QB,NE,14,28,3,13
129,Trey Benson,RB,ARI,11,36,4,13
130,Russell Wilson,QB,PIT,9,31,3,13
131,Courtland Sutton,WR,DEN,14,49,5,14
132,Daniel Jones,QB,NYG,11,33,3,14
133,Tyler Lockett,WR,SEA,10,52,5,14
134,Chase Brown,RB,CIN,12,39,4,14
135,Romeo Doubs,WR,GB,10,51,6,14
136,Bo Nix,QB,DEN,14,24,3,14
137,Blake Corum,RB,LAR,6,40,4,14
138,Jerome Ford,RB,CLE,10,41,5,14
139,Curtis Samuel,WR,BUF,12,50,6,14
140,Luke Musgrave,TE,GB,10,17,2,14
141,Khalil Shakir,WR,BUF,12,53,6,15
142,Jakobi Meyers,WR,LV,10,55,6,15
143,Zach Charbonnet,RB,SEA,10,42,5,15
144,Mike Williams,WR,NYJ,12,59,6,15
145,Rashid Shaheed,WR,NO,12,61,6,15
146,Jerry Jeudy,WR,CLE,10,56,6,15
147,Xavier Legette,WR,CAR,11,58,6,15
148,Justin Fields,QB,PIT,9,25,4,15
149,Gardner Minshew,QB,LV,10,34,4,15
150,Chuba Hubbard,RB,CAR,11,43,5,15
151,Adonai Mitchell,WR,IND,14,54,6,16
152,Joshua Palmer,WR,LAC,0,57,6,16
153,Cade Otton,TE,TB,11,19,2,16
154,Taysom Hill,TE,NO,12,21,2,16
155,Kendre Miller,RB,NO,12,50,5,16
156,Jahan Dotson,WR,PHI,14,68,7,16
157,J.K. Dobbins,RB,LAC,5,44,5,16
158,Gabe Davis,WR,JAX,12,60,7,16
159,Ben Sinnott,TE,WAS,14,18,2,16
160,Brandin Cooks,WR,DAL,7,63,7,16
161,Jaylen Wright,RB,MIA,6,46,5,17
162,Rico Dowdle,RB,DAL,7,45,5,17
163,Josh Downs,WR,IND,14,65,7,17
164,Dontayvion Wicks,WR,GB,10,66,7,17
165,Antonio Gibson,RB,NE,14,49,5,17
166,Ja'Lynn Polk,WR,NE,14,62,7,17
167,Quentin Johnston,WR,LAC,5,71,7,17
168,Ricky Pearsall,WR,SF,9,67,7,17
169,Ty Chandler,RB,MIN,6,47,5,17
170,MarShawn Lloyd,RB,GB,10,52,5,17
171,Troy Franklin,WR,DEN,14,69,7,18
172,Tyler Allgeier,RB,ATL,12,48,6,18
173,Jaleel McLaughlin,RB,DEN,14,51,6,18
174,Chigoziem Okonkwo,TE,TEN,5,24,3,18
175,Adam Thielen,WR,CAR,11,64,7,18
176,Hunter Henry,TE,NE,14,22,3,18
177,Tyler Conklin,TE,NYJ,12,23,3,18
178,Sam Darnold,QB,MIN,6,30,4,18
179,Kimani Vidal,RB,LAC,5,53,6,18
180,Darnell Mooney,WR,ATL,12,70,8,18
181,Isaiah Likely,TE,BAL,14,20,3,19
182,Roman Wilson,WR,PIT,9,73,8,19
183,DeMario Douglas,WR,NE,0,72,8,19
184,Dameon Pierce,RB,HOU,14,59,6,19
185,Jermaine Burton,WR,CIN,12,74,8,19
186,Ray Davis,RB,BUF,12,54,6,19
187,Tyrone Tracy,RB,NYG,11,56,6,19
188,Aidan O'Connell,QB,LV,10,37,4,19
189,Michael Wilson,WR,ARI,11,77,8,19
190,Noah Fant,TE,SEA,10,25,3,19
191,Marvin Mims,WR,DEN,14,80,8,20
192,Ja'Tavion Sanders,TE,CAR,11,27,3,20
193,Malachi Corley,WR,NYJ,12,79,8,20
194,Wan'Dale Robinson,WR,NYG,11,78,8,20
195,Michael Penix,QB,ATL,12,35,4,20
196,Khalil Herbert,RB,CHI,7,60,6,20
197,Rashod Bateman,WR,BAL,14,75,8,20
198,Bucky Irving,RB,TB,11,58,6,20
199,Roschon Johnson,RB,CHI,7,63,6,20
200,Tucker Kraft,TE,GB,10,34,3,20
201,Jacoby Brissett,QB,NE,14,44,4,21
202,Elijah Mitchell,RB,SF,9,57,6,21
203,Mike Gesicki,TE,CIN,12,26,3,21
204,Javon Baker,WR,NE,14,81,8,21
205,Juwan Johnson,TE,NO,12,37,3,21
206,Jalen McMillan,WR,TB,11,82,9,21
207,Braelon Allen,RB,NYJ,12,55,7,21
208,Luke McCaffrey,WR,WAS,14,76,9,21
209,Alexander Mattison,RB,LV,10,64,7,21
210,Audric Estime,RB,DEN,14,62,7,21
211,Jonnu Smith,TE,MIA,6,28,3,22
212,Michael Mayer,TE,LV,10,35,4,22
213,Demarcus Robinson,WR,LAR,6,84,9,22
214,Theo Johnson,TE,NYG,11,29,4,22
215,Colby Parkinson,TE,LAR,6,31,4,22
216,Greg Dortch,WR,ARI,11,85,9,22
217,Greg Dulcich,TE,DEN,14,32,4,22
218,Keaton Mitchell,RB,BAL,14,69,7,22
219,Tyler Boyd,WR,TEN,5,83,9,22
220,Sam Howell,QB,SEA,10,41,4,22
221,Jelani Woods,TE,IND,14,36,4,23
222,Zay Jones,WR,ARI,11,90,9,23
223,Clyde Edwards-Helaire,RB,KC,6,61,7,23
224,Tank Bigsby,RB,JAX,12,67,7,23
225,Zach Ertz,TE,WAS,14,33,4,23
226,Devontez Walker,WR,BAL,14,92,9,23
227,DJ Chark,WR,LAC,5,88,9,23
228,Will Shipley,RB,PHI,5,68,7,23
229,AJ Dillon,RB,GB,10,66,7,23
230,Dylan Laube,RB,LV,10,70,7,23
231,Hayden Hurst,TE,LAC,5,38,4,24
232,Dawson Knox,TE,BUF,12,30,4,24
233,Jalen Tolbert,WR,DAL,7,86,9,24
234,Odell Beckham,WR,MIA,6,87,9,24
235,Joe Flacco,QB,IND,14,49,4,24
236,D'Onta Foreman,RB,CLE,10,73,7,24
237,Daniel Bellinger,TE,NYG,11,40,4,24
238,Isaac Guerendo,RB,SF,9,72,8,24
239,Darius Slayton,WR,NYG,11,95,10,24
240,Elijah Moore,WR,CLE,10,94,10,24
241,Jalin Hyatt,WR,NYG,11,91,10,25
242,Kendrick Bourne,WR,NE,14,97,10,25
243,Justin Tucker,K,BAL,14,,1,25
244,Brandon Aubrey,K,DAL,7,,1,25
245,Harrison Butker,K,KC,6,,1,25
246,Evan McPherson,K,CIN,12,,1,25
247,Jake Moody,K,SF,9,,1,25
248,Younghoe Koo,K,ATL,12,,1,25
249,Jake Elliott,K,PHI,5,,1,25
250,Ka'imi Fairbairn,K,HOU,14,,1,25
251,Cameron Dicker,K,LAC,5,,1,26
252,Trey Sermon,RB,IND,14,71,8,26
253,Justice Hill,RB,BAL,14,65,8,26
254,Tre Tucker,WR,LV,10,104,10,26
255,Eric Gray,RB,NYG,11,89,8,26
256,Jameis Winston,QB,CLE,10,50,4,26
257,Drew Lock,QB,NYG,11,45,4,26
258,Spencer Rattler,QB,NO,0,40,5,26
259,Malik Washington,WR,MIA,6,96,10,26
